Date,Close/Last,Volume,Open,High,Low
2020-07-07,133.11,1595052,133.85,138.35,129.84
2020-07-08,138.92,1154571,134.03,139.3,132.78
2020-07-09,138.64,1459318,140.49,143.1325,134.93
2020-07-10,137.46,815336,138.0,139.98,136.0
2020-07-13,126.55,1799866,139.31,139.61,126.31
2020-07-14,135.95,2410594,126.56,136.305,124.89
2020-07-15,136.49,1228601,137.5,138.29,131.67
2020-07-16,136.95,721893,135.16,138.1,133.855
2020-07-17,141.1,1204696,138.45,142.22,137.69
2020-07-20,144.84,1321008,142.35,146.81,142.35
2020-07-21,145.03,970332,146.61,147.08,144.0977
2020-07-22,149.19,891863,146.15,150.0,145.17
2020-07-23,147.95,1645657,148.58,150.8,144.91
2020-07-24,148.36,1247365,145.81,149.19,142.56
2020-07-27,150.83,949563,149.99,150.93,147.16
2020-07-28,151.38,1321028,153.08,156.33,151.26
2020-07-29,155.46,736200,152.52,155.5,152.52
2020-07-30,155.87,1014402,152.95,157.4399,148.49
2020-07-31,154.95,888707,157.23,157.74,151.44
2020-08-03,159.49,1438286,156.76,162.155,156.07
2020-08-04,166.69,2380156,159.77,167.22,159.77
2020-08-05,174.12,3897297,168.94,177.29,167.27
2020-08-06,222.99,9899962,173.0,225.45,172.93
2020-08-07,192.0,7586913,215.6,222.98,190.31
2020-08-10,190.12,1749898,196.51,198.22,184.05
2020-08-11,187.65,1676016,190.54,199.32,183.89
2020-08-12,193.22,1119047,190.0,197.25,189.0
2020-08-13,193.43,1156945,192.67,202.63,192.41
2020-08-14,196.68,888414,194.62,197.9,193.26
2020-08-17,195.0,1648105,198.56,199.99,191.27
2020-08-18,202.61,1117440,196.2,205.48,194.775
2020-08-19,199.31,789829,203.0,203.0,196.84
2020-08-20,202.59,693085,197.95,204.82,196.48
2020-08-21,202.2,891134,201.9,207.28,200.5
2020-08-24,200.89,1170348,205.05,205.24,196.14
2020-08-25,202.93,782185,199.0,203.715,195.51
2020-08-26,207.82,880972,204.22,208.56,201.29
2020-08-27,208.01,1288357,206.97,213.14,203.16
2020-08-28,218.44,1490093,208.8,219.1,208.755
2020-08-31,215.96,908322,218.0,218.9199,210.41
2020-09-01,227.19,1901626,215.12,235.0,214.57
2020-09-02,222.98,1180844,230.53,231.4187,214.71
2020-09-03,198.51,1991192,218.0,219.33,197.2
2020-09-04,187.0,2737784,196.0,201.76,180.16
2020-09-08,181.0,2505276,178.5,186.12,176.65
2020-09-09,179.86,1977482,188.46,191.94,177.135
2020-09-10,178.63,1828436,180.72,184.9299,177.31
2020-09-11,174.24,1705159,179.33,182.64,171.44
2020-09-14,171.55,1910297,178.14,178.36,169.0301
2020-09-15,171.92,1199074,174.0,174.81,168.01
2020-09-16,175.9,1667666,172.25,178.0,167.3342
2020-09-17,166.44,1876735,171.0,171.59,164.63
2020-09-18,164.78,1733573,171.13,171.72,160.67
2020-09-21,173.67,1254948,161.91,173.92,158.25
2020-09-22,226.83,11332180,210.86,234.74,200.94
2020-09-23,218.67,3070093,226.47,227.9699,214.3
2020-09-24,208.35,1565508,216.64,218.41,206.65
2020-09-25,203.26,1451969,208.26,208.81,200.53
2020-09-28,218.02,2359650,206.94,218.38,206.25
2020-09-29,226.03,1845768,220.51,232.9,220.0
2020-09-30,223.06,1149031,223.75,226.68,218.59
2020-10-01,238.1,2313567,227.3,242.15,223.0
2020-10-02,222.7,2836093,235.89,239.98,212.66
2020-10-05,225.01,1304037,226.0,229.7739,220.9
2020-10-06,214.65,1761923,229.0,232.43,210.72
