From merged_data,,,,,,,,,From SMCI,,,,,,,,,,,,,
Date,DPRIME,Close/Last,Volume,Open,High,Low,,,Date,Close/Last,Volume,Open,High,Low,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-03-09,3.25,38.06,418779,38.12,38.46,37.64,,,03/09/2015,$38.06 ,418779,$38.12 ,$38.46 ,$37.64 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-03-06,3.25,38.11,336820,39.2,39.49,38.05,,,03/06/2015,$38.11 ,336820,$39.20 ,$39.49 ,$38.05 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-03-05,3.25,39.35,289818,39.37,40.145,38.94,,,03/05/2015,$39.35 ,289818,$39.37 ,$40.15 ,$38.94 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-03-04,3.25,39.24,300693,39.61,39.61,38.9201,,,03/04/2015,$39.24 ,300693,$39.61 ,$39.61 ,$38.92 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-03-03,3.25,39.8,423030,40.23,40.31,39.33,,,03/03/2015,$39.80 ,423030,$40.23 ,$40.31 ,$39.33 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-03-02,3.25,40.33,389473,40.21,40.56,39.71,,,03/02/2015,$40.33 ,389473,$40.21 ,$40.56 ,$39.71 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-02-27,3.25,40.18,539597,41.77,41.7799,40.14,,,02/27/2015,$40.18 ,539597,$41.77 ,$41.78 ,$40.14 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-02-26,3.25,41.13,832147,40.35,42,40.21,,,02/26/2015,$41.13 ,832147,$40.35 ,$42.00 ,$40.21 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-02-25,3.25,40.15,859361,41,41,38.76,,,02/25/2015,$40.15 ,859361,$41.00 ,$41.00 ,$38.76 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-02-24,3.25,40.73,932869,38.78,40.77,38.61,,,02/24/2015,$40.73 ,932869,$38.78 ,$40.77 ,$38.61 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-02-23,3.25,38.67,475272,39.27,39.35,37.91,,,02/23/2015,$38.67 ,475272,$39.27 ,$39.35 ,$37.91 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-02-20,3.25,39.24,219286,39.3,39.3,38.66,,,02/20/2015,$39.24 ,219286,$39.30 ,$39.30 ,$38.66 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-02-19,3.25,39.17,200157,39.19,39.38,38.61,,,02/19/2015,$39.17 ,200157,$39.19 ,$39.38 ,$38.61 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-02-18,3.25,39.11,379634,39.65,39.87,38.53,,,02/18/2015,$39.11 ,379634,$39.65 ,$39.87 ,$38.53 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-02-17,3.25,39.94,381356,39.67,40.12,39.58,,,02/17/2015,$39.94 ,381356,$39.67 ,$40.12 ,$39.58 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-02-13,3.25,39.74,475197,40,40.38,39.33,,,02/13/2015,$39.74 ,475197,$40.00 ,$40.38 ,$39.33 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-02-12,3.25,40.04,552221,39.67,40.125,39.3108,,,02/12/2015,$40.04 ,552221,$39.67 ,$40.13 ,$39.31 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-02-11,3.25,39.19,905583,39.8,40.44,39.13,,,02/11/2015,$39.19 ,905583,$39.80 ,$40.44 ,$39.13 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-02-10,3.25,39.2,841480,37.7,39.27,37.183,,,02/10/2015,$39.20 ,841480,$37.70 ,$39.27 ,$37.18 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-02-09,3.25,37.19,313035,36.88,37.43,36.54,,,02/09/2015,$37.19 ,313035,$36.88 ,$37.43 ,$36.54 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-02-06,3.25,37.13,447967,36.85,37.35,36.23,,,02/06/2015,$37.13 ,447967,$36.85 ,$37.35 ,$36.23 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-02-05,3.25,36.64,577182,35.97,36.77,35.555,,,02/05/2015,$36.64 ,577182,$35.97 ,$36.77 ,$35.56 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-02-04,3.25,35.69,384522,35.81,36.25,35.51,,,02/04/2015,$35.69 ,384522,$35.81 ,$36.25 ,$35.51 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-02-03,3.25,35.88,486460,36.57,37.11,35.65,,,02/03/2015,$35.88 ,486460,$36.57 ,$37.11 ,$35.65 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-02-02,3.25,36.47,450389,37,37,35.3126,,,02/02/2015,$36.47 ,450389,$37.00 ,$37.00 ,$35.31 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-01-30,3.25,36.57,498724,37.62,38.19,36.527,,,01/30/2015,$36.57 ,498724,$37.62 ,$38.19 ,$36.53 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-01-29,3.25,37.87,382315,37.42,38.08,37.0114,,,01/29/2015,$37.87 ,382315,$37.42 ,$38.08 ,$37.01 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-01-28,3.25,37.39,656153,38,38.36,37.3,,,01/28/2015,$37.39 ,656153,$38.00 ,$38.36 ,$37.30 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-01-27,3.25,37.33,685369,36.17,37.98,35.39,,,01/27/2015,$37.33 ,685369,$36.17 ,$37.98 ,$35.39 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-01-26,3.25,36.71,598233,36.29,36.89,36.01,,,01/26/2015,$36.71 ,598233,$36.29 ,$36.89 ,$36.01 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-01-23,3.25,36.35,667189,36.65,37.01,35.8,,,01/23/2015,$36.35 ,667189,$36.65 ,$37.01 ,$35.80 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-01-22,3.25,36.88,698646,34.5,36.89,34.0116,,,01/22/2015,$36.88 ,698646,$34.50 ,$36.89 ,$34.01 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-01-21,3.25,34.11,2753873,39.21,39.8,33.9301,,,01/21/2015,$34.11 ,2753873,$39.21 ,$39.80 ,$33.93 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-01-20,3.25,37.74,1310882,35.29,38.66,34.97,,,01/20/2015,$37.74 ,1310882,$35.29 ,$38.66 ,$34.97 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-01-16,3.25,35.07,524435,33.23,35.15,33.08,,,01/16/2015,$35.07 ,524435,$33.23 ,$35.15 ,$33.08 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-01-15,3.25,33.15,591269,33.92,33.92,32.88,,,01/15/2015,$33.15 ,591269,$33.92 ,$33.92 ,$32.88 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-01-14,3.25,33.7,261053,33.93,33.962,33.09,,,01/14/2015,$33.70 ,261053,$33.93 ,$33.96 ,$33.09 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-01-13,3.25,34.21,336712,34.33,35.21,33.27,,,01/13/2015,$34.21 ,336712,$34.33 ,$35.21 ,$33.27 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-01-12,3.25,34.16,233915,34.7,34.85,33.69,,,01/12/2015,$34.16 ,233915,$34.70 ,$34.85 ,$33.69 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-01-09,3.25,34.53,207412,34.85,35.12,34.19,,,01/09/2015,$34.53 ,207412,$34.85 ,$35.12 ,$34.19 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-01-08,3.25,34.73,360929,33.33,35.14,33.21,,,01/08/2015,$34.73 ,360929,$33.33 ,$35.14 ,$33.21 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-01-07,3.25,33,355263,33.07,33.24,32.21,,,01/07/2015,$33.00 ,355263,$33.07 ,$33.24 ,$32.21 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-01-06,3.25,32.76,338146,33.7,34.1,32.32,,,01/06/2015,$32.76 ,338146,$33.70 ,$34.10 ,$32.32 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-01-05,3.25,33.67,390016,34.47,35,33.18,,,01/05/2015,$33.67 ,390016,$34.47 ,$35.00 ,$33.18 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-01-02,3.25,34.73,207315,35.23,35.5799,34.1,,,01/02/2015,$34.73 ,207315,$35.23 ,$35.58 ,$34.10 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2014-12-31,3.25,34.88,220565,35.17,35.58,34.51,,,12/31/2014,$34.88 ,220565,$35.17 ,$35.58 ,$34.51 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2014-12-30,3.25,34.93,197203,35.18,35.689,34.52,,,12/30/2014,$34.93 ,197203,$35.18 ,$35.69 ,$34.52 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
